customer_id,age,annual_income,credit_score,gender,region,existing_debt,approved
CUST001,61,39592,532,Male,Urban,14628,0
CUST002,29,121530,572,Female,Rural,27651,0
CUST003,26,53657,639,Female,Rural,13031,0
CUST004,65,96426,734,Female,Semi-Urban,38618,1
CUST005,21,124458,601,Male,Semi-Urban,18210,0
CUST006,30,53221,692,Female,Urban,24898,1
CUST007,43,104131,655,Female,Rural,30108,1
CUST008,45,35328,802,Male,Rural,40535,1
CUST009,44,100674,618,Female,Urban,43336,0
CUST010,39,35458,639,Female,Semi-Urban,18217,0
CUST011,44,46319,709,Male,Urban,43920,1
CUST012,38,116988,556,Female,Rural,47784,0
CUST013,50,74735,658,Female,Rural,21252,1
CUST014,24,55021,536,Male,Semi-Urban,17546,0
CUST015,25,52653,810,Male,Urban,42954,1
CUST016,52,76856,754,Female,Semi-Urban,9150,1
CUST017,56,95644,654,Male,Rural,26175,1
CUST018,44,53746,590,Male,Urban,49530,0
CUST019,24,137866,576,Female,Rural,10484,0
CUST020,48,103172,552,Male,Semi-Urban,39052,0
CUST021,50,94352,648,Female,Rural,47233,0
CUST022,55,123419,656,Male,Urban,19234,1
CUST023,48,45730,752,Female,Rural,57399,1
CUST024,53,124871,611,Female,Rural,19558,0
CUST025,53,104818,621,Female,Semi-Urban,49971,0
CUST026,54,145388,520,Male,Semi-Urban,1276,0
CUST027,28,146778,705,Male,Urban,3796,1
CUST028,36,140082,810,Female,Urban,47966,1
CUST029,25,124693,792,Female,Urban,43237,1
CUST030,56,46643,655,Male,Urban,35343,1
CUST031,65,51365,679,Male,Rural,42590,1
CUST032,44,82422,784,Male,Urban,16246,1
CUST033,35,33392,693,Female,Rural,36301,0
CUST034,35,25942,556,Female,Urban,4417,0
CUST035,42,34287,783,Female,Semi-Urban,43842,0
CUST036,55,42342,812,Male,Urban,51420,1
CUST037,51,130840,728,Female,Urban,6352,1
CUST038,43,80519,730,Male,Rural,3550,1
CUST039,64,110649,570,Female,Semi-Urban,47724,0
CUST040,27,57591,618,Female,Rural,29400,0
CUST041,32,61509,756,Female,Urban,29041,1
CUST042,56,37833,545,Female,Urban,49385,0
CUST043,31,78269,768,Male,Urban,56665,1
CUST044,46,143284,550,Female,Semi-Urban,141,0
CUST045,37,146440,752,Male,Semi-Urban,45651,1
CUST046,56,111752,769,Female,Urban,19445,1
CUST047,24,100914,797,Female,Rural,20552,0
CUST048,58,87493,777,Female,Urban,33281,1
CUST049,32,33981,554,Female,Semi-Urban,7856,0
CUST050,57,57271,816,Female,Rural,5372,1
CUST051,58,99085,787,Male,Semi-Urban,13386,1
CUST052,63,118872,680,Female,Semi-Urban,25938,1
CUST053,62,64321,754,Male,Urban,610,1
CUST054,50,106416,808,Female,Urban,35234,1
CUST055,37,42361,698,Female,Urban,24217,0
CUST056,49,134280,798,Male,Rural,52894,1
CUST057,62,94329,524,Male,Rural,6788,0
CUST058,29,59664,579,Female,Rural,36256,0
CUST059,39,104276,627,Male,Urban,45055,0
CUST060,61,136792,655,Male,Semi-Urban,59332,0
CUST061,24,37097,736,Male,Urban,232,1
CUST062,42,126072,586,Male,Urban,48577,0
CUST063,49,97309,738,Female,Urban,4931,1
CUST064,65,143479,596,Female,Semi-Urban,38175,0
CUST065,48,41704,541,Male,Semi-Urban,58915,0
CUST066,23,142823,703,Female,Rural,16353,1
CUST067,43,127251,806,Male,Rural,49117,1
CUST068,30,146341,641,Female,Urban,57764,0
CUST069,32,121542,690,Male,Rural,56627,0
CUST070,36,59970,601,Female,Semi-Urban,57158,0
CUST071,51,54154,622,Male,Semi-Urban,20000,0
CUST072,35,54219,532,Female,Semi-Urban,21512,0
CUST073,25,126361,662,Male,Rural,33384,1
CUST074,46,114065,794,Male,Urban,7559,1
CUST075,37,48405,817,Male,Urban,7104,1
CUST076,59,81959,696,Male,Semi-Urban,39728,1
CUST077,53,40157,717,Female,Semi-Urban,2908,1
CUST078,21,93146,795,Female,Semi-Urban,28265,0
CUST079,63,145687,689,Male,Rural,55575,0
CUST080,28,119339,673,Male,Rural,26764,1
CUST081,41,77743,671,Female,Urban,27554,1
CUST082,45,113777,609,Male,Semi-Urban,35909,0
CUST083,21,64829,666,Female,Semi-Urban,51495,0
CUST084,62,67237,758,Male,Semi-Urban,44277,1
CUST085,34,92000,762,Female,Rural,5557,1
CUST086,63,107960,691,Female,Urban,44092,1
CUST087,33,44313,532,Female,Urban,31138,0
CUST088,25,84692,732,Female,Rural,45636,1
CUST089,46,56979,595,Female,Urban,51014,0
CUST090,32,130396,785,Male,Urban,36530,1
CUST091,36,145254,582,Male,Urban,52521,0
CUST092,50,112500,791,Male,Semi-Urban,40150,1
CUST093,53,80933,800,Male,Urban,48736,1
CUST094,51,83991,652,Female,Rural,18173,1
CUST095,54,88517,642,Male,Semi-Urban,5077,1
CUST096,39,55735,659,Male,Semi-Urban,58525,0
