customer_id,age,annual_income,credit_score,gender,region,existing_debt,approved,llm_decision,llm_prediction
CUST001,61,39592,532,Male,Urban,14628,0,REJECT,0
CUST002,29,121530,572,Female,Rural,27651,0,REJECT,0
CUST003,26,53657,639,Female,Rural,13031,0,REJECT,0
CUST004,65,96426,734,Female,Semi-Urban,38618,1,APPROVE,1
CUST005,21,124458,601,Male,Semi-Urban,18210,0,REJECT,0
CUST006,30,53221,692,Female,Urban,24898,1,APPROVE,1
CUST007,43,104131,655,Female,Rural,30108,1,REJECT,0
CUST008,45,35328,802,Male,Rural,40535,1,REJECT,0
CUST009,44,100674,618,Female,Urban,43336,0,REJECT,0
CUST010,39,35458,639,Female,Semi-Urban,18217,0,REJECT,0
CUST011,44,46319,709,Male,Urban,43920,1,APPROVE,1
CUST012,38,116988,556,Female,Rural,47784,0,REJECT,0
CUST013,50,74735,658,Female,Rural,21252,1,REJECT,0
CUST014,24,55021,536,Male,Semi-Urban,17546,0,REJECT,0
CUST015,25,52653,810,Male,Urban,42954,1,APPROVE,1
CUST016,52,76856,754,Female,Semi-Urban,9150,1,APPROVE,1
CUST017,56,95644,654,Male,Rural,26175,1,REJECT,0
CUST018,44,53746,590,Male,Urban,49530,0,REJECT,0
CUST019,24,137866,576,Female,Rural,10484,0,REJECT,0
CUST020,48,103172,552,Male,Semi-Urban,39052,0,REJECT,0
